label,modularity_class
SOUTHBRIDGE_TI_PCIXX12,252
MEMTEST_SECONDARY_PAYLOAD,249
DEFAULT_CONSOLE_LOGLEVEL_2,3
SUPERIO_NSC_PC87366,253
CBFS_PREFIX,254
NORTHBRIDGE_INTEL_GM45,255
ID_SECTION_OFFSET,256
NORTHBRIDGE_INTEL_I945,257
MAX_REBOOT_CNT,258
DRIVERS_I2C_I2CMUX,259
X86EMU_DEBUG_IO,149
VGA,79
XIP_ROM_SIZE,260
HAVE_PIRQ_TABLE,261
ARCH_RAMSTAGE_ARMV4,251
CPU_VIA_NANO,262
NORTHBRIDGE_AMD_PI,263
EC_GOOGLE_CHROMEEC_PD,171
DEBUG_TPM,264
STACK_SIZE,249
CPU_AMD_SOCKET_940,265
TTYS0_LCS,172
X86EMU_DEBUG_JMP,149
SOUTHBRIDGE_AMD_CIMX_SB900,266
ARCH_ROMSTAGE_ARMV4,267
ARCH_ROMSTAGE_ARMV7,267
BOARD_EMULATION_QEMU_X86,79
COREBOOT_ROMSIZE_KB_256,187
HAVE_UART_SPECIAL,172
SPI_ATOMIC_SEQUENCING,232
PCIEXP_COMMON_CLOCK,79
DEBUG_PIRQ,190
SOUTHBRIDGE_AMD_CS5535,268
SCONFIG_GENPARSER,269
NORTHBRIDGE_VIA_VX800,270
SPI_FLASH_ATMEL,232
NORTHBRIDGE_INTEL_FSP_RANGELEY,271
RELOCATABLE_MODULES,188
NATIVE_VGA_INIT_USE_EDID,140
SOUTHBRIDGE_AMD_CS5536,272
RAM_CODE_SUPPORT,273
SUPERIO_FINTEK_F71869AD,92
RAMBASE,274
CPU_MICROCODE_CBFS_GENERATE,34
CPU_AMD_PI_00730F01,275
INTEL_INT15,276
COREBOOT_ROMSIZE_KB_8192,187
CPU_AMD_AGESA_FAMILY15,277
CPU_AMD_AGESA_FAMILY14,278
EC_GOOGLE_CHROMEEC_ACPI_MEMMAP,171
CPU_INTEL_SOCKET_BGA956,279
SUPERIO_NUVOTON_NCT6779D,113
CPU_AMD_AGESA_FAMILY12,280
SOUTHBRIDGE_TI_PCI1X2X,281
SOC_QC_IPQ806X,282
DRIVERS_GENERIC_GENERIC,283
DRIVERS_TI_TPS65913_RTC_ADDR,386
POWER_BUTTON_DEFAULT_DISABLE,118
CPU_AMD_SOCKET_C32_NON_AGESA,284
EARLY_CBMEM_INIT,188
SUPERIO_SMSC_LPC47M10X,285
EC_GOOGLE_CHROMEEC_BOARDNAME,171
CPU_INTEL_EP80579,286
EARLY_PCI_MMIO_BASE,73
BOARD_ROMSIZE_KB_8192,287
DEBUG_COVERAGE,204
CPU_AMD_SOCKET_AM2R2,288
ARCH_ROMSTAGE_MIPS,289
CPU_INTEL_FSP_MODEL_406DX,290
TRACE,291
SOC_INTEL_SKYLAKE,292
COREBOOT_ROMSIZE_KB_2048,187
SOUTHBRIDGE_INTEL_I3100,293
DEBUG_CAR,54
CPU_AMD_SOCKET_S1G1,294
SOUTHBRIDGE_INTEL_I82801GX,295
NO_EARLY_BOOTBLOCK_POSTCODES,296
X86_AMD_FIXED_MTRRS,297
SMM_LAPIC_REMAP_MITIGATION,298
NORTHBRIDGE_INTEL_COMMON_MRC_CACHE,299
DEBUG_MALLOC,300
EC_GOOGLE_CHROMEEC_MEC,171
CPU_AMD_AGESA_FAMILY16_KB,301
CONSOLE_QEMU_DEBUGCON,79
SOUTHBRIDGE_AMD_AMD8132,302
SOUTHBRIDGE_AMD_AMD8131,303
SSE2,249
PAYLOAD_UBOOT,206
SUPERIO_NSC_PC97317,304
CPU_INTEL_HASWELL,305
NORTHBRIDGE_INTEL_FSP_SANDYBRIDGE,306
MAINBOARD_SMBIOS_MANUFACTURER,249
BOOTSPLASH_IMAGE,335
CPU_INTEL_MODEL_67X,307
VGA_BIOS_FILE,249
COREBOOT_ROMSIZE_KB_4096,187
SOC_INTEL_QUARK,308
SOUTHBRIDGE_RDC_R8610,309
EC_QUANTA_IT8518,310
SOC_INTEL_COMMON,311
TSC_SYNC_MFENCE,312
BOARD_ID_STRING,400
CONSOLE_SERIAL_230400,172
CBFS_SIZE,313
MAINBOARD_HAS_NATIVE_VGA_INIT,79
SOUTHBRIDGE_INTEL_COMMON,232
ARCH_ROMSTAGE_ARM64,409
SUPERIO_ITE_IT8716F,98
POSTCAR_STAGE,314
ARM64_USE_ARM_TRUSTED_FIRMWARE,231
CONSOLE_CBMEM_BUFFER_SIZE,172
HEAP_SIZE,315
CPU_INTEL_MODEL_F2X,316
PARALLEL_MP,317
SUBSYSTEM_DEVICE_ID,73
NORTHBRIDGE_INTEL_PINEVIEW,318
DRIVERS_TI_TPS65913,386
BOARD_ROMSIZE_KB_1024,319
VGA_ROM_RUN,206
CPU_INTEL_MODEL_306AX,320
DRIVERS_UART_8250MEM_32,73
CPU_INTEL_TURBO_NOT_PACKAGE_SCOPED,321
SOUTHBRIDGE_INTEL_C216,322
NORTHBRIDGE_AMD_CIMX_RD890,323
SIPI_VECTOR_IN_ROM,249
RESUME_PATH_SAME_AS_BOOT,206
CPU_INTEL_SOCKET_FC_PGA370,324
USBDEBUG,188
INTEL_GMA_ACPI,325
REG_SCRIPT,326
CPU_IMGTEC_PISTACHIO,327
SUPERIO_WINBOND_W83977TF,80
EC_GOOGLE_CHROMEEC_I2C,171
SUPERIO_RENESAS_M3885X,328
SOUTHBRIDGE_AMD_CIMX_SB700,329
DEBUG_SMI,232
POST_IO,249
PCIEXP_L1_SUB_STATE,79
USE_BLOBS,330
ARCH_BOOTBLOCK_ARM,264
NORTHBRIDGE_INTEL_I82810,331
BOARD_ROMSIZE_KB_2048,332
X86EMU_DEBUG,149
SOUTHBRIDGE_INTEL_I82801DX,333
CONSOLE_POST,249
CPU_INTEL_MODEL_6EX,334
ARCH_VERSTAGE_ARM,117
IPXE_STABLE,249
BOOTSPLASH_FILE,335
SOUTHBRIDGE_TI_PCI7420,336
CPU_ADDR_BITS,337
ARCH_BOOTBLOCK_MIPS,264
PCIEXP_CLK_PM,79
COLLECT_TIMESTAMPS,338
UEFI_2_4_BINDING,55
EARLY_PCI_BRIDGE_DEVICE,73
SUPERIO_SMSC_LPC47N227,339
DRIVER_INTEL_I210,340
HAVE_SPI_CONSOLE_SUPPORT,232
SUPERIO_NSC_PC87384,341
ARCH_VERSTAGE_RISCV,342
DRIVERS_TI_TPS65913_RTC_BUS,386
SUPERIO_NSC_PC87382,343
SOUTHBRIDGE_AMD_AGESA_YANGTZE,344
SUPERIO_FINTEK_F81865F,92
ARCH_ROMSTAGE_X86_64,345
BOOTSPLASH,149
DCACHE_BSP_STACK_SLUSH,249
LOCALVERSION,346
CPU_DMP_VORTEX86EX,347
SUPERIO_INTEL_I8900,348
COMPRESS_PRERAM_STAGES,249
CPU_INTEL_SOCKET_BGA1284,349
CONSOLE_SERIAL_921600,172
COREBOOT_ROMSIZE_KB_128,187
NORTHBRIDGE_VIA_CX700,350
EC_COMPAL_ENE932,351
BOOTBLOCK_CUSTOM,264
X86EMU_DEBUG_CHECK_VMEM_ACCESS,149
COMPILER_LLVM_CLANG,204
DCACHE_RAM_BASE,352
FSP_VENDORCODE_HEADER_PATH,353
USES_MICROCODE_HEADER_FILES,106
INCLUDE_CONFIG_FILE,354
CPU_AMD_AGESA,355
SOUTHBRIDGE_AMD_RS780,356
SOC_NVIDIA_TEGRA124,357
SDRAMPWR_4DIMM,56
BOOTBLOCK_SOUTHBRIDGE_INIT,358
NORTHBRIDGE_INTEL_IVYBRIDGE,249
HPET_ADDRESS,359
CCACHE,360
ONBOARD_VGA_IS_PRIMARY,73
SUPERIO_ITE_IT8671F,98
CONSOLE_NE2K_IO_PORT,73
ARCH_ARM,264
BOARD_EMULATION_QEMU_X86_Q35,79
CPU_AMD_SOCKET_F,361
SOUTHBRIDGE_NVIDIA_CK804,362
COREBOOT_ROMSIZE_KB_12288,187
SPI_FLASH_MACRONIX,232
SOFTWARE_I2C,363
CPU_INTEL_MODEL_6BX,364
USE_MARCH_586,365
ELOG_BOOT_COUNT_CMOS_OFFSET,188
ARCH_ARM64,264
BOARD_ROMSIZE_KB_4096,366
CPU_INTEL_FSP_MODEL_206AX,367
SOUTHBRIDGE_INTEL_BD82X6X,368
DRIVERS_ATI_RAGEXL,369
PARALLEL_CPU_INIT,370
MAINBOARD_DIR,371
CPU_AMD_PI_00630F01,372
NORTHBRIDGE_DMP_VORTEX86EX,373
EC_LENOVO_H8,122
SUPERIO_SMSC_LPC47B272,374
