label,modularity_class
FEATURE_DD_THIRD_STATUS_LINE,98
YES,127
DEFAULT_DEPMOD_FILE,70
MKFS_MINIX,70
PASSWORD_MINLEN,128
ASH_OPTIMIZE_FOR_SIZE,217
FEATURE_BOOTCHARTD_BLOATED_HEADER,129
FEATURE_TELNETD_STANDALONE,12
OPENVT,70
FEATURE_EDITING_FANCY_PROMPT,13
IOSTAT,130
SYNC,131
SOFTLIMIT,132
ARPING,70
STATIC,217
FEATURE_FIND_MMIN,161
DIFF,186
FEATURE_INETD_SUPPORT_BUILTIN_ECHO,12
FEATURE_WGET_OPENSSL,186
FEATURE_SYSTEMD,133
FEATURE_MOUNT_FLAGS,1
FEATURE_FIND_INUM,161
FEATURE_VOLUMEID_ROMFS,37
TRUE,134
FEATURE_SECURETTY,12
DEVFSD_MODLOAD,12
FEATURE_CHAT_NOFAIL,84
CHROOT,135
FEATURE_HTTPD_CONFIG_WITH_SCRIPT_INTERPR,63
FEATURE_PIDOF_SINGLE,100
PLATFORM_LINUX,70
FEATURE_DD_IBS_OBS,98
FEATURE_SUID,204
ENVDIR,136
UNICODE_NEUTRAL_TABLE,229
NAMEIF,12
FEATURE_FIND_USER,161
SV,137
FEATURE_HTTPD_SETUID,63
FEATURE_IP_SHORT_FORMS,138
HALT,117
FSYNC,139
SHA3SUM,28
RUNCON,73
FDFLUSH,70
FEATURE_MAKEDEVS_TABLE,140
CPIO,85
ECHO,217
FEATURE_LAST_FANCY,66
MONOTONIC_SYSCALL,70
FEATURE_FIND_NEWER,161
FEATURE_LESS_MARKS,46
FSCK_MINIX,70
GREP,141
FEATURE_MOUNT_CIFS,1
UNIQ,142
FEATURE_IFUPDOWN_IP_BUILTIN,138
HUSH_IF,217
FEATURE_TAR_SELINUX,73
SELINUXENABLED,73
FEATURE_MOUNT_VERBOSE,1
FEATURE_NTPD_SERVER,70
ACPID,70
BEEP,70
FEATURE_UDHCPD_WRITE_LEASES_EARLY,60
ASH_ALIAS,217
FEATURE_HTTPD_CGI,63
FEATURE_TEE_USE_BLOCK_IO,211
FEATURE_BEEP_FREQ,70
RUN_PARTS,186
FEATURE_SYSLOGD_DUP,219
FEATURE_DEVFS,70
START_STOP_DAEMON,186
FEATURE_TAR_OLDGNU_COMPATIBILITY,73
UNCOMPRESS,143
FEATURE_RMDIR_LONG_OPTIONS,186
FEATURE_CHAT_VAR_ABORT_LEN,84
MD5SUM,28
TELNET,38
DEALLOCVT,70
FEATURE_CHAT_SWALLOW_OPTS,84
SETKEYCODES,70
INCLUDE_SUSv2,144
FEATURE_BASH_IS_ASH,217
FEATURE_VOLUMEID_LINUXRAID,37
NC_SERVER,210
EXPAND,186
FEATURE_CLEAN_UP,145
FEATURE_TAR_NOPRESERVE_TIME,73
CHCON,73
ADDUSER,186
FEATURE_STAT_FORMAT,70
FEATURE_DATE_NANO,70
FEATURE_HTTPD_RANGES,63
ASH_CMDCMD,217
GUNZIP,146
HWCLOCK,186
FEATURE_SH_IS_HUSH,217
FEATURE_TOUCH_NODEREF,214
FEATURE_INSMOD_VERSION_CHECKING,70
INSTALL_SH_APPLET_HARDLINK,147
FEATURE_NON_POSIX_CP,148
SORT,149
FEATURE_TEST_64,217
XARGS,150
FEATURE_MOUNT_OTHERTAB,1
FEATURE_VI_DOT_CMD,168
FEATURE_SH_STANDALONE,217
FREE,70
GZIP_FAST,186
FEATURE_TOP_CPU_GLOBAL_PERCENTS,68
SESTATUS,73
COMM,151
FEATURE_RTMINMAX,152
PRINTF,153
CP,186
NSLOOKUP,154
IFENSLAVE,70
CHRT,155
CHOWN,186
MD5_SMALL,156
FEATURE_INSMOD_LOADINKMEM,70
LOGNAME,157
FEATURE_RUNSVDIR_LOG,158
FEATURE_BLKID_TYPE,37
FEATURE_FIND_GROUP,161
MORE,38
FEATURE_XARGS_SUPPORT_QUOTES,150
KBD_MODE,70
CROSS_COMPILER_PREFIX,159
FEATURE_PS_ADDITIONAL_COLUMNS,68
FEATURE_LESS_FLAGS,46
BBCONFIG,209
BASENAME,160
FEATURE_MODUTILS_SYMBOLS,70
FEATURE_FIND_EXEC_PLUS,161
FEATURE_VERBOSE_CP_MESSAGE,162
UUDECODE,163
FEATURE_LOADFONT_PSF2,164
READLINK,165
FEATURE_MKDIR_LONG_OPTIONS,186
FEATURE_FIND_PRUNE,161
FIRST_SYSTEM_ID,186
FEATURE_IP_RARE_PROTOCOLS,138
FEATURE_VI_SET,168
EJECT,70
FEATURE_USE_TERMIOS,38
FEATURE_USE_INITTAB,117
FBSPLASH,70
INIT_TERMINAL_TYPE,117
FEATURE_HAVE_RPC,12
POWERTOP,38
CHATTR,166
FEATURE_INETD_SUPPORT_BUILTIN_TIME,12
FEATURE_VI_UNDO_QUEUE,168
LOGIN_SCRIPTS,12
CLEAR,167
FEATURE_SH_IS_NONE,217
FEATURE_TAR_UNAME_GNAME,73
FEATURE_WTMP,66
NANDDUMP,70
FEATURE_VOLUMEID_LINUXSWAP,37
VI,168
FEATURE_FAST_TOP,169
FEATURE_MKSWAP_UUID,170
HUSH_LOOPS,217
FEATURE_NETSTAT_WIDE,70
FEATURE_FIND_XDEV,161
MESG,171
ID,172
FEATURE_MDEV_RENAME_REGEXP,120
ARP,70
FEATURE_UDHCP_PORT,60
SULOGIN,12
FEATURE_VI_ASK_TERMINAL,168
CHMOD,173
PWD,174
FEATURE_PS_UNUSUAL_SYSTEMS,68
